MZ516136.1	0.12429781114465179859	B
node_1152,node_1151,node_1147	0.11941267077518114004	B
OM141138.1,node_1066	0.11356613275150947984	B
node_1231,node_1235	0.09683494428946037846	B
MZ515938.1	0.09661355414889787052	B
MZ515837.1	0.08512215619129229194	B
node_827	0.07007209393673977105	B
MH760675.1	0.04872888281571927105	B
MN108242.1	0.03657279345784424096	B
MZ515977.1	0.03497999754883202722	B
node_1070	0.03341148183301260316	B
LC474551.1	0.02451271912052436011	B
MZ515562.1	0.02450055451547336616	B
OM857372.1	0.02426389218405513096	B
MN163126.1	0.02022073762421352713	B
MN365550.1	0.01931359385305963031	B
node_1199	0.01715239924526760010	B
MN365475.1	0.01042358456426552282	B
A: 0
B: 1.00000000000000001042
