0	267
268	420
421	587
588	766
767	919
920	1422
1423	1582
1583	1736
1737	1861
1862	2364
2365	2577
2578	2703
2704	3114
3115	3300
3301	3508
3509	3716
3717	3924
3925	4330
4331	4730
4731	5091
5092	5226
5227	5358
5359	5597
5598	5729
5730	6978
6979	7154
7155	7600
7601	8330
8331	8467
8468	8582
8583	8990
8991	9133
9134	9251
9252	9377
9378	9507
9508	9613
9614	9720
9721	9853
9854	10119
10120	10873
10874	11661
11662	13357
13358	13683
13684	13941
13942	14160
14161	14539
14540	14748
14749	15039
15040	15308
15309	16096
16097	17345
17346	17651
17652	17827
17828	18033
18034	18436
18437	18828
18829	19616
19617	20030
20031	20273
20274	20607
20608	21211
21212	21599
21600	21933
21934	22142
22143	22407
22408	22716
22717	22833
22834	23221
23222	23332
23333	23779
23780	24081
24082	24247
24248	24972
24973	25456
25457	25666
25667	26104
26105	26628
26629	27968
27969	28371
28372	30599
30600	30991
30992	31129
31130	31346
31347	31479
31480	31683
31684	32738
32739	33173
33174	33609
33610	33802
33803	33988
33989	34137
34138	34546
34547	34957
34958	35241
35242	35350
35351	35779
35780	35947
35948	36322
36323	36581
36582	36969
36970	37170
37171	37326
37327	37506
37507	37857
37858	38392
38393	38734
38735	39004
39005	39141
39142	39664
39665	39927
39928	40190
40191	40362
40363	40601
40602	41004
41005	41461
41462	41675
41676	42336
42337	42693
42694	42916
42917	43509
43510	43676
43677	44361
44362	44732
44733	45025
45026	45456
45457	45572
45573	46609
46610	48836
48837	49085
49086	50196
50197	50568
50569	50730
50731	51924
51925	55593
55594	56558
56559	60282
60283	63931
63932	64297
64298	67969
67970	71665
71666	73370
73371	77078
77079	81859
81860	82127
82128	85906
85907	89593
89594	89711
89712	93604
93605	97404
97405	101185
101186	104987
104988	105138
105139	105707
105708	105878
105879	108043
108044	109219
109220	115736
115737	116007
116008	116108
116109	116326
116327	116649
116650	116967
116968	117074
117075	117450
117451	117736
117737	117900
117901	118089
118090	118877
118878	119153
119154	119589
119590	119711
119712	120253
120254	120459
120460	120939
120940	121333
121334	121963
121964	122084
122085	122202
122203	122697
122698	123179
123180	123554
123555	123776
123777	124170
124171	124291
124292	124921
124922	125036
125037	125139
125140	125329
125330	125519
125520	125770
125771	125956
125957	126193
126194	126560
126561	126791
126792	127004
127005	127424
127425	127906
127907	128300
128301	128548
128549	129028
129029	129234
129235	129776
129777	130212
130213	130488
130489	130652
130653	130938
130939	131314
131315	131632
131633	131955
131956	132173
132174	132444
132445	133620
133621	133791
133792	134360
134361	134726
134727	134888
134889	135260
135261	135509
135510	135625
135626	136056
136057	136649
136650	137000
137001	137284
137285	137695
137696	138104
138105	138290
138291	138483
138484	138919
138920	139354
139355	140409
140410	140626
140627	141018
141019	141421
141422	141859
141860	142069
142070	142553
142554	143278
143279	143444
143445	143746
143747	144193
144194	144581
144582	145185
145186	145428
145429	145842
145843	146018
146019	146324
146325	146615
146616	146824
146825	147203
147204	147422
147423	147680
147681	148006
148007	148136
148137	148262
148263	148380
148381	148788
148789	148925
148926	149371
149372	150620
150621	150752
150753	151152
151153	151558
151559	151969
151970	152182
152183	152685
152686	152800
152801	153046
153047	153152
153153	153398
153399	153513
153514	153628
153629	153743
153744	153847
153848	154024
154025	154201
154202	154447
154448	154858
154859	154962
154963	155208
155209	155619
155620	155734
155735	155951
155952	156066
156067	156181
156182	156427
156428	156542
156543	156657
156658	156874
156875	156978
156979	157224
